llm,ml,alpha,MAE,Spearman,Kappa,AAcc
deepseek-r1_70b,RandomForest,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,RandomForest,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,RandomForest,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,RandomForest,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,RandomForest,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,ExtraTrees,0.0,0.5471698113207547,0.5817406117350928,0.5064583959146891,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.05,0.5283018867924528,0.6272541489685588,0.5401966454598033,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.1,0.5471698113207547,0.6009210224957751,0.521688500727802,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.15,0.5283018867924528,0.6097553569779053,0.525656324582339,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.2,0.5471698113207547,0.5947104603155149,0.4973998164576323,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.25,0.5849056603773585,0.5662843240591079,0.48177777777777775,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.3,0.5471698113207547,0.5934324587672604,0.5419570671870644,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.35,0.5283018867924528,0.6134497361668667,0.5538720538720538,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.4,0.5283018867924528,0.6063224152219631,0.5612582781456954,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.45,0.5094339622641509,0.6161959322074788,0.618705035971223,1.0
deepseek-r1_70b,ExtraTrees,0.5,0.5283018867924528,0.6358850191981736,0.6278836509528586,1.0
deepseek-r1_70b,ExtraTrees,0.55,0.5471698113207547,0.6356554486107941,0.6266699052708282,1.0
deepseek-r1_70b,ExtraTrees,0.6,0.5660377358490566,0.635698067317553,0.6255299105040037,1.0
deepseek-r1_70b,ExtraTrees,0.65,0.5849056603773585,0.5882612779198969,0.5903021784961349,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.7,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,ExtraTrees,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,SVR,0.0,0.6037735849056604,0.4185676025610635,0.3148028442146089,0.9622641509433962
deepseek-r1_70b,SVR,0.05,0.6226415094339622,0.4216217128739875,0.3257834315854794,0.9622641509433962
deepseek-r1_70b,SVR,0.1,0.5849056603773585,0.47060188840147354,0.3790928206668669,0.9622641509433962
deepseek-r1_70b,SVR,0.15,0.5471698113207547,0.5346024750780638,0.4649739981645763,0.9622641509433962
deepseek-r1_70b,SVR,0.2,0.5471698113207547,0.5619879467778089,0.4902264970524357,0.9811320754716981
deepseek-r1_70b,SVR,0.25,0.5283018867924528,0.5835630991443305,0.503125,0.9811320754716981
deepseek-r1_70b,SVR,0.3,0.49056603773584906,0.6075230877627908,0.5591206179441475,0.9811320754716981
deepseek-r1_70b,SVR,0.35,0.49056603773584906,0.6075230877627908,0.5591206179441475,0.9811320754716981
deepseek-r1_70b,SVR,0.4,0.4528301886792453,0.654898044869012,0.5906120023767083,0.9811320754716981
deepseek-r1_70b,SVR,0.45,0.4528301886792453,0.654898044869012,0.5906120023767083,0.9811320754716981
deepseek-r1_70b,SVR,0.5,0.5283018867924528,0.5727134190486856,0.5320088300220751,0.9622641509433962
deepseek-r1_70b,SVR,0.55,0.5471698113207547,0.5733067231768718,0.5339728217426059,0.9622641509433962
deepseek-r1_70b,SVR,0.6,0.5849056603773585,0.5752540921102538,0.537521815008726,0.9622641509433962
deepseek-r1_70b,SVR,0.65,0.5849056603773585,0.5752540921102538,0.537521815008726,0.9622641509433962
deepseek-r1_70b,SVR,0.7,0.6226415094339622,0.5782171189935317,0.5406418364956664,0.9622641509433962
deepseek-r1_70b,SVR,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,SVR,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,SVR,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,SVR,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,SVR,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,SVR,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,Ridge,0.0,0.5283018867924528,0.5593348276648207,0.5538720538720538,0.9811320754716981
deepseek-r1_70b,Ridge,0.05,0.5094339622641509,0.5862381064290497,0.5715082241427376,0.9811320754716981
deepseek-r1_70b,Ridge,0.1,0.49056603773584906,0.5745558886142325,0.5781694144400227,0.9811320754716981
deepseek-r1_70b,Ridge,0.15,0.4528301886792453,0.6181235444215335,0.6083001705514497,0.9811320754716981
deepseek-r1_70b,Ridge,0.2,0.4716981132075472,0.5929882519896391,0.590557939914163,0.9811320754716981
deepseek-r1_70b,Ridge,0.25,0.4339622641509434,0.6590495537095906,0.6286932683521169,1.0
deepseek-r1_70b,Ridge,0.3,0.41509433962264153,0.6676347823052085,0.6582649472450176,1.0
deepseek-r1_70b,Ridge,0.35,0.41509433962264153,0.6650208989515379,0.6535947712418302,1.0
deepseek-r1_70b,Ridge,0.4,0.41509433962264153,0.6650208989515379,0.6535947712418302,1.0
deepseek-r1_70b,Ridge,0.45,0.4339622641509434,0.64116323443609,0.6353574633562669,1.0
deepseek-r1_70b,Ridge,0.5,0.4528301886792453,0.6395469734584104,0.6336405529953917,1.0
deepseek-r1_70b,Ridge,0.55,0.49056603773584906,0.6371629608322033,0.6305630026809652,1.0
deepseek-r1_70b,Ridge,0.6,0.5283018867924528,0.6358850191981736,0.6278836509528586,1.0
deepseek-r1_70b,Ridge,0.65,0.5471698113207547,0.6356554486107941,0.6266699052708282,1.0
deepseek-r1_70b,Ridge,0.7,0.5849056603773585,0.5882612779198969,0.5903021784961349,0.9811320754716981
deepseek-r1_70b,Ridge,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,Ridge,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,Ridge,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,Ridge,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,Ridge,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,Ridge,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,KNN,0.0,0.5283018867924528,0.5373155830102608,0.47975460122699387,0.9622641509433962
deepseek-r1_70b,KNN,0.05,0.5094339622641509,0.5843150514635277,0.4995115597525236,0.9811320754716981
deepseek-r1_70b,KNN,0.1,0.5094339622641509,0.5843150514635277,0.4995115597525236,0.9811320754716981
deepseek-r1_70b,KNN,0.15,0.49056603773584906,0.6116872078077331,0.5203619909502262,0.9811320754716981
deepseek-r1_70b,KNN,0.2,0.4528301886792453,0.6498321472288225,0.5630944831959417,0.9811320754716981
deepseek-r1_70b,KNN,0.25,0.4528301886792453,0.6498321472288225,0.5630944831959417,0.9811320754716981
deepseek-r1_70b,KNN,0.3,0.49056603773584906,0.5651472372794933,0.4958782498414712,0.9622641509433962
deepseek-r1_70b,KNN,0.35,0.49056603773584906,0.5651472372794933,0.4958782498414712,0.9622641509433962
deepseek-r1_70b,KNN,0.4,0.4716981132075472,0.5970635396860616,0.546473886102095,0.9622641509433962
deepseek-r1_70b,KNN,0.45,0.5094339622641509,0.5833687077001815,0.590460964561684,0.9811320754716981
deepseek-r1_70b,KNN,0.5,0.5094339622641509,0.5833687077001815,0.590460964561684,0.9811320754716981
deepseek-r1_70b,KNN,0.55,0.5283018867924528,0.5842046342576266,0.5904173106646058,0.9811320754716981
deepseek-r1_70b,KNN,0.6,0.5660377358490566,0.5866499818359234,0.5903381642512078,0.9811320754716981
deepseek-r1_70b,KNN,0.65,0.5849056603773585,0.5882612779198969,0.5903021784961349,0.9811320754716981
deepseek-r1_70b,KNN,0.7,0.5849056603773585,0.5882612779198969,0.5903021784961349,0.9811320754716981
deepseek-r1_70b,KNN,0.75,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,KNN,0.8,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,KNN,0.85,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,KNN,0.9,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
